,Datetime,Tweet Id,Text,Username
64,2023-02-22 07:39:22+00:00,1628298387744514049,"Hampir setahun berlalu sejak invasi Rusia ke Ukraina pada 24 Februari 2022. Berikut beberapa karya investigasi yang menyoroti invasi ini ??
https://t.co/KyJ6Tt7okU",gijnIndonesia
65,2023-02-22 06:48:26+00:00,1628285569804677121,"Catatan: NMD: SVO adalah akronim untuk ""Operasi Militer Khusus"" di Ukraina, sebuah eufemisme yang digunakan oleh otoritas Rusia untuk menyebut invasi Rusia ke Ukraina",bdleonanda
66,2023-02-22 05:15:00+00:00,1628262055038910469,"Presiden Amerika Serikat Joe Biden, pada Selasa (21/2) malam di Warsawa, dengan tegas membela upaya aliansi Barat selama satu tahun terakhir untuk membantu Ukraina melawan invasi Rusia, dan berjanji tidak akan menghentikan upaya bantuan tersebut.

https://t.co/9amD1DvBBH",voaindonesia
67,2023-02-22 03:55:43+00:00,1628242105272500224,Leopard 2 dinilai krusial untuk mengalahkan invasi Rusia  https://t.co/HApOxx0EJK,republikaonline
68,2023-02-22 03:33:40+00:00,1628236555998613505,"Kantor Komisaris Tinggi PBB untuk Hak Asasi Manusia (OHCHR) mencatat setidaknya ada 8.006 warga sipil yang tewas dan 13.287 orang yang terluka dalam 12 bulan terakhir di Ukraina akibat invasi Rusia.

https://t.co/ymGQPsdylP",serambinews
69,2023-02-22 03:23:42+00:00,1628234045896409089,@vidio Warga Rusia nonton bajakan sebagai balasan sanksi dari Barat atas Invasi Rusia ke Ukraina,yudi_08081998
70,2023-02-22 03:17:52+00:00,1628232577877430273,Sepanjang invasi Rusia sudah ratusan sekolah Ukraina hancur.  https://t.co/qoV3l7O45e,republikaonline
71,2023-02-22 03:17:08+00:00,1628232396037570567,Kantor Komisaris Tinggi PBB untuk HAM mencatat setidaknya 8.006 warga sipil tewas dan 13.287 terluka akibat invasi Rusia setahun terakhir. https://t.co/6dIhK2oNwT,kompascom
72,2023-02-22 03:00:00+00:00,1628228083185774592,"Tweeps, ketegangan geopolitik meningkat setelah Presiden AS Joe Biden berpidato dari Polandia, &amp; Presiden Rusia Putin berpidato dari Moskow jelang ssetahun invasi. Dan, bagaimana pengaruh media Rusia ke negara berkembang, termasuk Indonesia? Simak infonya! https://t.co/9Sytyqpuil",voaindonesia
73,2023-02-22 02:20:00+00:00,1628218014830297088,"Presiden Joe Biden Selasa (21/2), kembali berpidato di kastil Warsawa, tempat ia berbicara pasca invasi Rusia ke Ukraina tahun lalu. Biden menandaskan bahwa perang telah meneguhkan tekad Barat untuk dukung Ukraina dan membela demokrasi di seluruh dunia.
https://t.co/q7wmS3Jclr",voaindonesia
